,section-0-question-0,section-0-question-1,section-0-question-2,section-0-question-3,section-0-question-4,section-0-question-5,section-0-question-6,section-0-question-7,section-0-question-8,section-0-question-9,section-0-question-10,section-1-question-0,section-0-question-11,section-1-question-1,section-0-question-12,section-1-question-2,section-0-question-13,section-1-question-3,section-1-question-4,section-1-question-5,section-1-question-6,section-1-question-7,section-1-question-8,section-1-question-9,section-2-question-0,section-2-question-1,section-2-question-2,section-2-question-3,section-2-question-4,section-2-question-5,section-2-question-6,section-2-question-7,section-2-question-8,section-1-question-10,section-1-question-11,section-1-question-12,section-1-question-13,section-1-question-14
10,3,3,2,3,2,3,5,3,2,2,4,Strongly agree,6,Strongly agree,3,Strongly agree,3,Maybe add some color,Somewhat agree,If there was a way to make the size of my mouse smaller so i could see the object better,Strongly disagree,Neither agree/nor disagree,I did not notice any errors,Neither agree/nor disagree,29,Female,"Everyday, during a majority of business hours","Everyday, less than an hour","I like to play Nintendo games, especially the Zelda series, and anything with Mario in it",A mouse,"I'm using a simple mouse, I did adjust the settings so the pointer speed was slightly slower than normal",Mouse buttons,"I'm using a simple mouse, I did adjust the settings so the pointer speed was slightly slower than normal",,Somewhat agree,Somewhat disagree,Somewhat disagree,
11,3,2,2,1,1,1,2,5,2,2,2,Strongly agree,7,Strongly agree,7,Strongly agree,1,It was very straightforward and the explanation was clear. ,Strongly agree,Everything worked perfectly. ,Strongly disagree,Neither agree/nor disagree,I didn't experience any errors.,Neither agree/nor disagree,42,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",puzzle games and simulations,A trackpad,MacBook Air trackpad,Trackpad buttons,Nothing really,unsure,Somewhat agree,Somewhat disagree,Somewhat disagree,It was very simple. I enjoyed it.
12,7,7,7,7,7,7,7,7,1,1,7,Somewhat agree,6,Strongly agree,7,Somewhat agree,6,well,Somewhat agree,great,Somewhat agree,Strongly agree,well,Strongly agree,30,Male,"Everyday, a few hours","Everyday, a few hours",good,A mouse,cursor,Mouse buttons,very hard,good,Somewhat agree,Somewhat agree,Strongly agree,great
13,4,5,4,6,2,5,2,2,3,3,3,Neither agree/nor disagree,4,Somewhat disagree,5,Somewhat agree,4,none,Strongly disagree,none,Strongly disagree,Somewhat disagree,none,Strongly agree,28,Female,"Everyday, during a majority of business hours","Everyday, a few hours",none,A mouse,none,Mouse buttons,none,none,Strongly disagree,Somewhat disagree,Somewhat agree,nice
14,7,3,1,1,3,3,1,4,5,6,6,Strongly agree,4,Strongly agree,5,Strongly agree,5,make it a little bigger image wise,Strongly agree,it perfect as is in my honest opinion,Somewhat agree,Somewhat agree,yes maybe change the ui make it a little more user friendly,Strongly agree,33,Male,"Everyday, during a majority of business hours",Once or twice a week,sports,A mouse,,Mouse buttons,,,Strongly agree,Somewhat disagree,Neither agree/nor disagree,
15,7,6,6,6,5,5,5,4,5,4,5,Somewhat agree,6,Somewhat agree,4,Somewhat agree,5,In this is a intuitive,Neither agree/nor disagree,Yeah slowly object move ,Neither agree/nor disagree,Neither agree/nor disagree,error,Neither agree/nor disagree,50,Female,"Everyday, a few hours","Everyday, a few hours","Vice city
Some race",A mouse,Yeah cursor disturbing,Mouse buttons,Nothing happened,Yeah better,Somewhat agree,Somewhat agree,Somewhat agree,Yeah slowly moving object
16,6,6,3,4,2,5,6,5,4,3,7,Strongly agree,5,Somewhat agree,5,Strongly agree,5,super improved,Strongly agree,good,Strongly agree,Strongly agree,good improved,Strongly agree,51,Male,"Everyday, during a majority of business hours","Everyday, a few hours",puzzle ,A trackpad,good,Keyboard,usindg keyboord,yes good accesibility,Somewhat agree,Strongly agree,Somewhat agree,good improved
17,5,5,5,3,4,3,5,3,1,2,5,Somewhat agree,4,Strongly agree,5,Strongly agree,4,"Not that I can think of, it was fine.",Strongly agree,It can be improved with no beginning countdown.,Strongly disagree,Somewhat agree,There weren't any errors that I could see.,Somewhat agree,56,Female,"Everyday, during a majority of business hours",Once or twice a week,"tetris, solitare",A mouse,its a wireless mouse connected to the laptop via Bluetooth.,Mouse buttons,its a wireless mouse connected to the laptop via Bluetooth.,I was using my mouse but I think it could be used on just touch itself.,Strongly agree,Somewhat agree,Neither agree/nor disagree,None that I could add.
18,2,2,2,2,2,2,2,2,1,1,7,Strongly agree,7,Strongly agree,7,Strongly agree,1,not sure,Strongly agree,bigger pictures,Strongly disagree,Strongly agree,bigger pictures,Strongly agree,30,Male,"Everyday, during a majority of business hours",Once or twice a week,minecraft,A mouse,wireless mouse,Mouse buttons,wireless mouse,bigger pictures,Strongly agree,Strongly disagree,Strongly disagree,bigger pictures
19,6,6,4,2,2,4,3,6,3,1,6,Strongly agree,6,Strongly agree,5,Strongly agree,2,Not moving as fast from side to side or up and down,Strongly agree,"Not pressing on and off, too much clicking",Strongly disagree,Strongly agree,Stop when it goes green instead of continuing,Neither agree/nor disagree,27,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",Nintendo Switch games and simulation games,A mouse,,Mouse buttons,,I am not sure,Strongly agree,Strongly agree,Strongly agree,None
20,6,5,7,6,4,6,7,5,5,6,7,Somewhat agree,6,Somewhat agree,6,Strongly agree,6,nice,Strongly agree,like,Somewhat agree,Somewhat agree,nice,Strongly agree,31,Male,"Everyday, during a majority of business hours","Everyday, a few hours",coc,A mouse,n/a,Mouse buttons,like,yes,Somewhat agree,Somewhat agree,Strongly agree,well
21,6,7,7,7,5,7,6,4,2,2,5,Strongly agree,6,Somewhat agree,4,Strongly agree,5,no more Improved the intuitive,Neither agree/nor disagree,Not improved to allow faster control of the object,Neither agree/nor disagree,Neither agree/nor disagree,No The error,Neither agree/nor disagree,49,Male,"Everyday, a few hours","Everyday, a few hours",Yes ,A mouse,,Mouse buttons,,No then cutter the accessibility,Somewhat agree,Somewhat agree,Somewhat agree,not About the improved
22,5,7,5,6,5,6,5,5,6,5,5,Strongly agree,5,Neither agree/nor disagree,6,Somewhat agree,7,All are great,Strongly agree,slightly improve the speed.,Somewhat disagree,Somewhat agree,no errors,Somewhat agree,25,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",Action,A mouse,it is the language to interact with computer.,Mouse buttons,great.,moving mouse fastly.,Somewhat agree,Strongly agree,Somewhat agree,All are great.
23,6,7,6,6,7,7,6,7,7,6,6,Strongly agree,6,Strongly agree,7,Somewhat agree,7,nice,Somewhat agree,good,Strongly agree,Strongly agree,NA,Somewhat agree,34,Male,"Everyday, during a majority of business hours","Everyday, a few hours",pubg,A mouse,NA,Mouse buttons,NA,good,Strongly agree,Strongly agree,Somewhat agree,nice
24,6,5,4,4,5,5,6,5,5,5,5,Somewhat agree,6,Neither agree/nor disagree,4,Somewhat agree,5,that was good,Somewhat agree,not bad,Somewhat agree,Neither agree/nor disagree,no need,Somewhat agree,33,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",shooting games,A mouse,that was good,Mouse buttons,nope,no need,Strongly agree,Somewhat agree,Neither agree/nor disagree,nope
25,6,4,3,4,5,3,4,3,2,2,3,Somewhat agree,3,Somewhat agree,4,Strongly agree,3,Make it so you can move things diagonally,Somewhat disagree,Allow diagonal movements.,Somewhat disagree,Somewhat disagree,N/A,Strongly agree,23,Male,"Everyday, during a majority of business hours","Everyday, a few hours","FPS, shooters",A mouse,N/A,Mouse buttons,N/A,N/A,Somewhat disagree,Strongly agree,Strongly agree,Allow diagonal movements.
26,5,5,5,5,6,6,5,5,6,4,5,Neither agree/nor disagree,6,Neither agree/nor disagree,5,Neither agree/nor disagree,4,good,Somewhat agree,good,Somewhat agree,Neither agree/nor disagree,good,Somewhat agree,30,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",online,A mouse,no,Mouse buttons,good,good,Neither agree/nor disagree,Neither agree/nor disagree,Neither agree/nor disagree,good
27,6,2,2,6,2,3,6,6,2,1,6,Strongly agree,7,Strongly agree,7,Strongly agree,2,"no, it's much more improved",Strongly agree,it allow very fast to control,Somewhat agree,Strongly agree,by this interface we can surely reduce errors,Strongly agree,29,Male,"Everyday, a few hours","Everyday, less than an hour",Action,A mouse,,Mouse buttons,,very likely,Strongly agree,Strongly disagree,Somewhat agree,"no, it's much more improved"
28,6,5,5,6,6,5,7,6,5,3,4,Somewhat agree,3,Neither agree/nor disagree,3,Somewhat agree,4,I will try to shed some light on the hidden facets of intuitive user interface.,Neither agree/nor disagree,many techniques involved in crafting beautiful and functional interfaces.,Somewhat agree,Neither agree/nor disagree,"These simple guidelines can help enable lower rates of user errors, and ultimately improve usability.",Neither agree/nor disagree,33,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",online games,A mouse,"Mice originally used a ball rolling on a surface to detect motion, but modern mice often have optical sensors that have no moving parts.",Mouse buttons," design is the process designers use to build interfaces in software or computerized devices, focusing on looks or style.",The average company allocates very limited resources to serving users with disabilities.,Neither agree/nor disagree,Neither agree/nor disagree,Somewhat agree,nothing
29,7,7,1,7,7,6,7,1,1,1,7,Strongly agree,7,Strongly agree,7,Strongly agree,1,It is also improved,Strongly agree,It was already faster,Strongly disagree,Strongly agree,Nothing,Strongly agree,28,Male,"Everyday, during a majority of business hours","Everyday, a few hours",Online RPG,A mouse,Mouse,Mouse buttons,Mouse buttons,It is improved,Strongly agree,Strongly disagree,Strongly disagree,It is already improved
30,5,6,4,2,1,2,7,6,1,1,7,Somewhat agree,3,Strongly agree,3,Strongly agree,5,I don't think it can. This is something you actually have to do in order to understand how the interface works.,Strongly agree,I don't think it can. I think the user's skill determines how fast the interface controls the object.,Strongly disagree,Somewhat agree,Maybe make it more sensitive to small movements.,Neither agree/nor disagree,64,Female,"Everyday, during a majority of business hours",Rarely,Mario Carts,A mouse,None. It's just a regular computer mouse.,Mouse buttons,None,I'm not sure if it could be improved for people using an assistive device. ,Strongly agree,Somewhat agree,Neither agree/nor disagree,Maybe make it more sensitive to small movements by the user.
31,5,7,4,7,2,6,6,6,1,1,7,Somewhat agree,7,Strongly agree,6,Somewhat agree,4,very improve,Somewhat disagree,NO,Somewhat disagree,Somewhat disagree,NO,Somewhat disagree,37,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",specific computer game,A mouse,no,Mouse buttons,no,NO,Somewhat agree,Strongly agree,Somewhat agree,NO
32,6,7,6,7,6,7,6,7,6,7,6,Strongly agree,7,Somewhat agree,6,Strongly agree,7,yes,Strongly agree,yes,Strongly agree,Strongly agree,yes,Somewhat agree,41,Male,"Everyday, during a majority of business hours","Everyday, a few hours",ff game,A trackpad,well located,Keyboard,it is located very aptly,yes,Strongly agree,Somewhat agree,Strongly agree,yes
33,1,1,1,1,1,2,2,6,1,2,2,Somewhat agree,6,Somewhat agree,6,Somewhat agree,2,it could be improved with more  color ranges and labels. ,Somewhat agree,"It was perfect, the control was smooth and fast. ",Strongly disagree,Strongly agree,Worked perfecfectly. ,Somewhat agree,29,Female,"Everyday, during a majority of business hours",Once or twice a week,"War, strategy",A mouse,,Trackpad buttons,,it was easy to manipulate the interface. ,Strongly agree,Somewhat disagree,Neither agree/nor disagree,"No, not really. "
34,4,3,2,1,1,2,3,2,3,4,3,Neither agree/nor disagree,6,Somewhat agree,7,Strongly agree,2,i thought it was fine the way it was,Somewhat agree,I think it was at a good pace,Neither agree/nor disagree,Somewhat agree,I thought it did well that way it was,Neither agree/nor disagree,45,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",puzzle word games,A mouse,N/A,Mouse buttons,N/A,no improvement needed,Somewhat agree,Somewhat disagree,Somewhat disagree,no 
35,6,7,6,6,7,6,7,6,3,3,6,Somewhat agree,6,Strongly agree,5,Somewhat agree,6,Yes,Somewhat agree,yes,Somewhat agree,Strongly agree,Nothing,Somewhat agree,36,Male,"Everyday, a few hours","Everyday, less than an hour",Yes,An assistive device,I will do the using in mouse to cursor,Mouse buttons,Yes I do he cursor,When do the work improment for accessibility,Somewhat agree,Strongly agree,Somewhat agree,Yes
36,5,4,3,1,1,3,4,4,3,2,4,Somewhat agree,5,Strongly agree,6,Strongly agree,3,The pseed increased a bit too much over time,Somewhat agree,Start a bit faster,Neither agree/nor disagree,Somewhat agree,"Adjust the speed, Faster at the start,  slower on a longer run",Somewhat agree,55,Male,"Everyday, during a majority of business hours",Rarely,Driving,Other,Keyboard arrows,Mouse buttons,,Use of a joystick,Neither agree/nor disagree,Neither agree/nor disagree,Neither agree/nor disagree,None
37,5,3,3,4,2,2,6,6,2,1,6,Somewhat agree,7,Strongly agree,6,Strongly agree,3,I think it was great,Strongly agree,I don't think that there is room for improvement,Strongly disagree,Strongly disagree,I didn't notice any errors,Somewhat agree,32,Female,"Everyday, a few hours",Once or twice a week,Card games,A mouse,,Mouse buttons,,It moved perfectly with my mouse,Strongly agree,Somewhat agree,Strongly disagree,No
38,7,7,7,6,5,6,7,5,7,1,7,Somewhat agree,7,Somewhat agree,2,Somewhat agree,2,more easy control  interface,Somewhat agree,slow is good,Somewhat agree,Somewhat disagree,none,Somewhat agree,40,Male,"Everyday, during a majority of business hours","Everyday, a few hours",car race,A mouse,none,Mouse buttons,none,mouse control is best,Somewhat agree,Strongly agree,Somewhat agree,no
39,6,5,3,4,5,4,4,5,4,2,5,Somewhat agree,5,Strongly agree,4,Somewhat agree,4,"Needs to be a little bit more responsive, the small delay caused my wrist to fatigue fast.",Somewhat agree,Again remove the delay.,Somewhat agree,Somewhat agree,"If you hold the arrow to long, it wont stop until a bit after letting go the arrow button.",Somewhat agree,38,Male,"Everyday, a few hours",Once or twice a week,rpgs,A mouse,I use a basic mouse to regular movements.,Mouse buttons,Laser point for movement and accuracy.,It is fine.,Strongly agree,Somewhat disagree,Somewhat disagree,na
40,2,1,1,1,1,3,6,7,2,1,3,Strongly agree,7,Strongly agree,6,Strongly agree,1,Each arrow should be in fact double arrows like this: <---> because you always can go both ways.,Strongly agree,Maybe add a diagonal option.,Somewhat disagree,Strongly agree,I'm not sure what cause this but when clicking on the interface rapidly sometime you miss-click for no apparent reason. It can be when you click while in movement.,Strongly agree,37,Male,"Everyday, during a majority of business hours",Once or twice a week,"Minecraft, Starcraft",A mouse,It's a simple laser mouse.,Mouse buttons,It's a simple laser mouse.,,Strongly agree,Strongly agree,Neither agree/nor disagree,I don't see anything more.
41,5,3,2,1,3,3,2,2,2,1,3,Somewhat agree,6,Somewhat agree,6,Strongly agree,2,Move or rotate by holding the mouse button rather than clicking to start and then clicking again to stop.,Somewhat agree,Move or rotate by holding the mouse button rather than clicking to start and then clicking again to stop.,Somewhat disagree,Somewhat agree,Making the goal a bright color.,Strongly agree,21,Male,"Everyday, during a majority of business hours",Once or twice a week,RPGs,A mouse,,Mouse buttons,,It allows for great accessibility.,Strongly agree,Strongly disagree,Somewhat disagree,
42,6,4,3,6,5,5,6,5,5,5,5,Somewhat agree,6,Strongly agree,4,Strongly agree,5,yes,Strongly agree,yes,Strongly agree,Somewhat agree,yes,Somewhat agree,35,Male,"Everyday, a few hours","Everyday, less than an hour",Sports,A mouse,The cursor is very useful.It allows many applications to run faster.,Mouse buttons,Many jobs are done on the computer only with the click of a mouse,yes,Somewhat agree,Strongly agree,Somewhat agree,yes
43,3,2,1,5,2,1,3,4,2,1,3,Somewhat agree,6,Strongly agree,7,Strongly agree,2,I think it's good just as is,Somewhat agree,I think the control speed was perfectly fine,Somewhat disagree,Somewhat agree,To reposition itself when needed,Neither agree/nor disagree,40,Female,"Everyday, during a majority of business hours",Rarely,solitaire,A mouse,,Mouse buttons,,Maybe no timer in between,Somewhat agree,Somewhat disagree,Somewhat disagree,Not that i can think of
44,2,2,2,1,2,2,4,6,3,3,6,Strongly agree,6,Strongly agree,6,Strongly agree,3,I don't think it really needs to be improved as it was very simple to learn and execute. Perhaps you could rotate the dial by clicking on the dial but it worked well as it was,Strongly agree,The interface allowed for me to move the object at the speed of my mouse. Really the only thing that could increase the speed is to be able to move the dial by clicking and dragging it rather than clicking on the ring to rotate it.,Strongly disagree,Strongly agree,Perhaps you could slow the rotation speed or make the dial stick when it hits its target but I think the interface worked very well and did not need much or any improving,Neither agree/nor disagree,36,Male,"Everyday, during a majority of business hours","Everyday, a few hours",RPGs,A mouse,During one of the tests I was delayed from responding by a computer pop up for a few seconds. My mouse was otherwise effective,Mouse buttons,Use buttons on side of mouse to click,I only used a mouse to control the cursor and it was very effective. I am not sure what an assistive device is so I can't say I know the answer to that.,Strongly agree,Somewhat disagree,Neither agree/nor disagree,No it was very efficient
45,2,3,4,6,4,2,4,5,5,3,3,Somewhat disagree,3,Neither agree/nor disagree,4,Somewhat agree,5,OK,Somewhat disagree,OK,Somewhat disagree,Neither agree/nor disagree,OK,Somewhat disagree,47,Female,"Everyday, less than an hour","Everyday, less than an hour",GOOD,A trackpad,GOOD,Keyboard,GOOD,OK,Somewhat disagree,Neither agree/nor disagree,Somewhat agree,OK
46,6,7,5,4,5,7,6,5,5,5,7,Somewhat agree,3,Strongly agree,5,Neither agree/nor disagree,6,click to the arrow move to the circle ,Somewhat agree,slow to move the mouse,Somewhat agree,Strongly agree,nothing ,Strongly agree,30,Male,"Everyday, during a majority of business hours","Everyday, a few hours",car race games ,A mouse,nothing ,Mouse buttons,nothing ,move to the cursor in slow mode ,Somewhat agree,Strongly agree,Somewhat agree,nothing 
47,5,3,2,1,1,2,1,4,1,1,5,Strongly agree,7,Strongly agree,7,Strongly agree,2,Nothing I can think of,Strongly agree,Maybe separate movement and rotation into 2 separate actions,Strongly disagree,Strongly disagree,I can't think of any because I didn't have any errors,Somewhat agree,35,Male,"Everyday, during a majority of business hours","Everyday, a few hours",,A mouse,,Mouse buttons,,,Strongly agree,Somewhat disagree,Strongly disagree,
48,7,7,6,7,7,6,7,6,1,1,7,Strongly agree,7,Strongly agree,7,Strongly agree,7,strongly agree,Strongly agree,strongly agree,Strongly disagree,Strongly disagree,strongly disagree,Strongly disagree,45,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",gta 5,A mouse,lighting mouse,Mouse buttons,Mouse buttons,strongly disagree,Strongly agree,Strongly agree,Strongly agree,very smooth
49,5,4,2,1,1,1,1,2,1,2,3,Strongly agree,7,Strongly agree,7,Strongly agree,1,I only had trouble with the circle one but even that was easy.,Strongly agree,It was easy already/,Strongly disagree,Strongly agree,It was already easy to do.,Neither agree/nor disagree,60,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",Homescape Soduku,A mouse,,Mouse buttons,,I only know what it was like using a mouse.,Neither agree/nor disagree,Neither agree/nor disagree,Strongly agree,"If this was the circle one, it was more difficult than the rest."
50,6,7,7,4,5,4,5,6,4,3,6,Somewhat disagree,4,Somewhat agree,4,Neither agree/nor disagree,5,with arrows,Somewhat agree,mouse directions,Somewhat disagree,Neither agree/nor disagree,increase servers,Neither agree/nor disagree,26,Male,"Everyday, less than an hour","Everyday, less than an hour",video games,A mouse,wireless mouse,Mouse buttons,mouse pad,good,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,reduce targets
51,6,7,6,7,6,7,7,6,7,7,7,Strongly agree,7,Somewhat agree,6,Strongly agree,7,good,Somewhat agree,good,Somewhat agree,Strongly agree,good,Somewhat agree,30,Male,"Everyday, during a majority of business hours","Everyday, a few hours",different type of computer game,A mouse,laptop,Mouse buttons,mouse button,good,Somewhat agree,Strongly agree,Somewhat agree,good
52,6,4,3,3,3,5,3,5,4,3,4,Somewhat agree,5,Somewhat agree,5,Somewhat agree,3,the buttons flash with each click.,Somewhat agree,allow for bigger buttons,Somewhat disagree,Neither agree/nor disagree,have sound effect for each click,Somewhat agree,31,Male,"Everyday, during a majority of business hours","Everyday, a few hours",card games,A mouse,,Mouse buttons,,quicker reactions times,Somewhat agree,Somewhat agree,Somewhat agree,
53,4,1,7,5,6,4,6,4,6,3,6,Somewhat agree,7,Neither agree/nor disagree,7,Somewhat agree,5,improved ,Somewhat agree,faster,Somewhat agree,Somewhat disagree,nothing,Somewhat disagree,61,Female,"Everyday, a few hours","Everyday, less than an hour",2,A mouse,the improve in the game ,Mouse buttons,good ,very esey,Somewhat agree,Somewhat agree,Neither agree/nor disagree,good 
54,6,5,3,5,4,4,5,2,4,4,3,Somewhat disagree,4,Neither agree/nor disagree,6,Neither agree/nor disagree,4,nice,Somewhat agree,like this interface,Somewhat disagree,Somewhat disagree,nothing error,Neither agree/nor disagree,29,Male,"Everyday, during a majority of business hours","Everyday, a few hours",battle ground,A mouse,nothing,Mouse buttons,nothing,no it is good,Neither agree/nor disagree,Somewhat disagree,Somewhat disagree,no
55,4,5,3,3,6,3,5,2,6,2,5,Somewhat disagree,3,Neither agree/nor disagree,5,Somewhat disagree,3, In this post I will try to shed some light on the hidden facets of intuitive user interface. Read more: Why Experience Design is the next big thing ,Somewhat disagree, There are many techniques involved in crafting beautiful and functional interfaces. ... With quick wins and long strategies to start improving conversion tomorrow. ... Fading the extras allows visitors to easily focus their attention on the ... These hover controls can be achieved with some simple CSS code,Neither agree/nor disagree,Somewhat disagree,It is always better to design interfaces that prevent errors from happening in the first place. Promote data quality to reduce the occurrence of errors.,Neither agree/nor disagree,48,Female,"Everyday, a few hours","Everyday, a few hours",Moto Racing,A mouse,,Mouse buttons,," Designlab is a part-time, online course that helps you improve your UI/UX design skills through 1-on-1 mentorship from an expert designer.",Somewhat disagree,Neither agree/nor disagree,Somewhat agree,"Web design consists, for the most part, of interface design. ... We can do this by adding padding and, in some cases, also converting the ... These hover controls can be achieved with some simple CSS code, without any JavaScript. ... There are plenty of other ways to hide the inner <div>, such as offsetting it "
56,4,1,3,5,2,5,4,5,2,1,5,Somewhat agree,6,Somewhat agree,6,Somewhat agree,4,good,Somewhat agree,good,Somewhat agree,Somewhat disagree,none,Somewhat agree,30,Male,"Everyday, during a majority of business hours","Everyday, a few hours",,A mouse,,Mouse buttons,,good,Somewhat agree,Somewhat disagree,Somewhat agree,none
57,5,5,4,3,2,4,5,5,2,2,6,Somewhat agree,5,Strongly agree,4,Strongly agree,3,Without knowing what the interface is for it's hard to make suggestions.,Strongly agree,Maybe make all the points with a larger target dot.,Somewhat disagree,Somewhat agree,Give broader ranges with each target.,Neither agree/nor disagree,36,Female,"Everyday, during a majority of business hours",Rarely,Poker,A trackpad,Nothing of note.,Trackpad buttons,Standard double button system.,Seems like this would be doable with an assistive device like a joystick.,Strongly agree,Somewhat agree,Strongly disagree,Large target ranges and short distances from the center.
