,section-0-question-0,section-0-question-1,section-0-question-2,section-0-question-3,section-0-question-4,section-0-question-5,section-0-question-6,section-0-question-7,section-0-question-8,section-0-question-9,section-0-question-10,section-1-question-0,section-0-question-11,section-1-question-1,section-0-question-12,section-1-question-2,section-0-question-13,section-1-question-3,section-1-question-4,section-1-question-5,section-1-question-6,section-1-question-7,section-1-question-8,section-1-question-9,section-2-question-0,section-2-question-1,section-2-question-2,section-2-question-3,section-2-question-4,section-2-question-5,section-2-question-6,section-2-question-7,section-2-question-8,section-1-question-10,section-1-question-11,section-1-question-12,section-1-question-13,section-1-question-14,uid,sid,control,transitionType,interfaceID
10,6,1,1,5,7,5,5,3,1,1,7,Strongly agree,7,Somewhat agree,7,Somewhat agree,3,very interesting,Strongly agree,very easy and fast,Somewhat disagree,Neither agree/nor disagree,very clear and attractive,Somewhat agree,32,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",playing some running games,A trackpad,nothing,Mouse buttons,nothing,yes of course,Strongly agree,Strongly agree,Neither agree/nor disagree,very easy,25AwIlCdspZfLLIYOrdNQtK5Y6w1,-MGt-97fXQky98Um9S16,drag,press/release,drag-press/release
11,2,2,1,2,1,2,2,4,2,2,2,Strongly agree,6,Strongly agree,6,Strongly agree,4,No.,Strongly agree,Maybe enable the roller on top of the mouse to control pitch.,Somewhat disagree,Strongly agree,"Maybe a two colored scheme: red for not on, pink for matching the points and green for matched pitch and point. ",Somewhat agree,42,Male,"Everyday, during a majority of business hours",Rarely,Tetris,A mouse,,Mouse buttons,,"I have no recommendation, as it was very accessible ",Strongly agree,Somewhat agree,Somewhat agree,Better pay for the task.,2sVhSYgqAIR4DwyOOHikVXNLwmE2,-MHO-qMMiBtInhED8qrY,drag,press/release,drag-press/release
12,7,6,6,7,6,6,6,5,1,2,5,Somewhat agree,6,Strongly agree,5,Somewhat agree,6,they have good to move the time task,Somewhat agree,they first some move slow,Somewhat agree,Strongly agree,most reduce to the error,Somewhat agree,30,Male,"Everyday, a few hours",Rarely,shotting,A mouse,,Mouse buttons,,,Somewhat agree,Strongly agree,Somewhat agree,they have good improved,30RoWu7DYrU2srtpZcy09aoVDB52,-MGz1a_byLLPAdo9FsMs,drag,click,drag-click
13,5,4,2,3,3,5,6,4,4,5,4,Somewhat agree,5,Somewhat agree,2,Strongly agree,5,"The interface worked fine, don't feel there is anything to improve.",Strongly agree,it was fast enough for me,Somewhat disagree,Somewhat agree,The interface is good as it is,Strongly agree,40,Female,"Everyday, during a majority of business hours","Everyday, a few hours",Adventure and sports,A mouse,I used a mouse and it was easy to use,Mouse buttons,I use a normal mouse,I had no problem with the cursor control,Somewhat agree,Somewhat disagree,Somewhat disagree,Everything worked smoothly I had no problem reaching the target,35hwBcRQ9xXco4U8N7Xrovq7vRC2,-MGyyJyKqfhA3p_w0pgA,targetdrag,press/release,targetdrag-press/release
14,7,4,6,6,7,7,6,3,6,4,7,Neither agree/nor disagree,2,Somewhat disagree,6,Somewhat agree,3,Interested,Somewhat agree,Nice,Neither agree/nor disagree,Somewhat agree,Of course,Neither agree/nor disagree,57,Male,"Everyday, during a majority of business hours","Everyday, less than an hour",,A mouse,,Mouse buttons,,better,Neither agree/nor disagree,Somewhat agree,Strongly agree,Of course,37KiXi1P4vh3WxlsOMNbnAW2PBk2,-MGyunQn6cwtrbNs6u5Z,drag,press/release,drag-press/release
15,5,5,4,6,5,5,4,7,1,7,7,Somewhat agree,5,Neither agree/nor disagree,6,Strongly agree,4,Yes.improved.,Strongly agree,Yes. this faster control.,Neither agree/nor disagree,Somewhat agree,Yes.,Somewhat agree,57,Male,"Everyday, less than an hour","Everyday, less than an hour",Yes,A mouse,Mouse moving is very like that,Keyboard,Good,Yes.,Somewhat agree,Neither agree/nor disagree,Strongly agree,Yes,3DGdhJxi6jTZB7hdkj3054OzYST2,-MHOIkxsM1NCc212cS8L,target,click,target-click
16,7,4,4,6,1,6,6,6,1,1,5,Somewhat agree,6,Strongly agree,6,Somewhat agree,2,that`s good ,Somewhat agree,to play fast ,Neither agree/nor disagree,Neither agree/nor disagree,no errors interface  ,Neither agree/nor disagree,49,Male,"Everyday, a few hours","Everyday, less than an hour",gta vice city,A mouse,easy to use ,Mouse buttons,easy to use ,no interface,Somewhat agree,Strongly agree,Somewhat agree,no interface,3xT3CO4bkkbB5odspo8m0foa13S2,-MGze4QA0rdP31gZjdvE,arrow,press/release,arrow-press/release
17,7,7,7,6,7,7,7,7,6,7,7,Strongly agree,6,Somewhat agree,7,Strongly agree,7,yes initiative,Somewhat agree,yes faster,Strongly agree,Somewhat agree,yes reduce errors,Strongly agree,52,Female,"Everyday, during a majority of business hours","Everyday, a few hours",yes puzzle,A mouse,yes moving the cursor,Mouse buttons,yes interface click,yes better accessibility,Strongly agree,Strongly agree,Strongly agree,control inerface,3yBXjuj3ZmSKXmmeuvzjUHTfwW52,-MHO9kGbAz6GUJz7ksp9,arrow,press/release,arrow-press/release
18,6,5,4,3,6,5,6,6,3,3,6,Somewhat agree,5,Strongly agree,3,Somewhat agree,4,It could be smoother.,Somewhat agree,It could stop easier.,Somewhat disagree,Somewhat agree,Finer controls.,Neither agree/nor disagree,35,Male,"Everyday, during a majority of business hours",Once or twice a week,Action adventure,A trackpad,,Trackpad buttons,,It needs smaller degrees of movement.,Neither agree/nor disagree,Somewhat agree,Somewhat agree,There could be finer controls.,4GnDzXlSrMONayNBqlwKFIQ731O2,-MGtGys1Y0htUiUjSPz1,panel,click,panel-click
19,5,5,2,5,6,6,6,7,2,2,5,Strongly agree,4,Strongly agree,3,Strongly agree,3,Don't know. It's about as intuitive as I think it can get.,Strongly agree,Larger rotational clickable area,Strongly disagree,Strongly agree,Don't know,Neither agree/nor disagree,36,Male,"Everyday, during a majority of business hours",Rarely,I hate computer games.,A mouse,,Mouse buttons,,No idea,Somewhat agree,Somewhat disagree,Somewhat disagree,"No, it was excellent.",4VmoCLqfPYP8tLu3ojuvD2Yyp7n1,-MHO0gaCIf8rFo_yG7EY,drag,click,drag-click
20,5,6,4,6,6,5,7,6,3,5,6,Somewhat agree,5,Strongly agree,6,Somewhat agree,4,yes,Somewhat agree,yes ,Somewhat agree,Somewhat agree,no,Somewhat agree,46,Male,"Everyday, during a majority of business hours","Everyday, a few hours",yes i like this,A mouse,nothing,Mouse buttons,,yes,Somewhat agree,Neither agree/nor disagree,Somewhat agree,no,4dL6mZzFioW3OztlcoW8GXXrthj1,-MGzKw4gdLSZ3LyNCAP6,targetdrag,click,targetdrag-click
21,2,2,4,4,2,3,5,5,2,2,4,Strongly agree,4,Strongly agree,3,Strongly agree,3,It already is,Strongly agree,"No way, it's already easy",Strongly disagree,Neither agree/nor disagree,I didn't see any errors,Neither agree/nor disagree,27,Male,"Everyday, during a majority of business hours",Once or twice a week,Card games,A mouse,,Mouse buttons,,I'm not sure honestly,Neither agree/nor disagree,Strongly disagree,Strongly disagree,No,4f1KA8RIBff8wYXJcRVHsQG6W4m2,-MGyqRkMxNrV5vBwwdoF,drag,click,drag-click
22,7,6,7,6,7,6,7,6,4,4,6,Neither agree/nor disagree,7,Somewhat agree,6,Somewhat agree,6,yes more intutitve,Somewhat agree,yes interface be improved ,Somewhat agree,Strongly agree,no,Somewhat agree,25,Male,"Everyday, less than an hour","Everyday, a few hours",,A mouse,,Mouse buttons,,yes better,Somewhat agree,Strongly agree,Strongly agree,somewhat improved,4xbDmiaZQKRtMcUVUQ2IP1kKVHO2,-MGt1n2Khy9IW-PzYgOW,arrow,press/release,arrow-press/release
23,6,5,5,5,6,4,6,5,6,4,4,Somewhat agree,6,Neither agree/nor disagree,6,Neither agree/nor disagree,4,Good,Neither agree/nor disagree,Yes,Neither agree/nor disagree,Somewhat agree,No,Neither agree/nor disagree,29,Female,"Everyday, a few hours","Everyday, less than an hour",Puzzle ,A mouse,,Mouse buttons,,Yes,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,Good,5GUKZiUq8PbtoAqleKZHlL1yQ6I3,-MHO0V83ibs3ERtvaLra,drag,click,drag-click
24,4,3,4,6,4,3,5,3,2,1,5,Somewhat agree,6,Neither agree/nor disagree,6,Somewhat agree,2,Know which colours evoke which moods,Somewhat agree,Keep the interface simple. ,Neither agree/nor disagree,Somewhat agree,Rotate,Somewhat agree,36,Female,"Everyday, during a majority of business hours",Once or twice a week,game controllers ,A mouse, primary input devices,Mouse buttons, primary input devices,Use headings correctly ,Neither agree/nor disagree,Somewhat agree,Neither agree/nor disagree,No,5g7o7xzAkMTK649udisSvq5gti92,-MGspjEYexyrERYGmCfU,panel,press/release,panel-press/release
25,5,6,4,5,5,5,5,6,1,1,5,Somewhat agree,4,Somewhat agree,2,Strongly agree,4,"I liked it how it is, I do not advice a change",Strongly agree,I like it as it is,Somewhat disagree,Somewhat agree,It is interesting as it is. I do not advice a change,Somewhat agree,35,Male,"Everyday, during a majority of business hours",Rarely,Play station,A trackpad,I used a laptop with a trackpad,Trackpad buttons,I used my trackpad and clicked on the trackpad surface,I think it is interesting the way it is.,Somewhat agree,Neither agree/nor disagree,Neither agree/nor disagree,I enjoyed using it,5m0cQdS6PwUJb0dPFkDhdEAow5E2,-MHO3_wfP3ufbn-xSjZ9,arrow,press/release,arrow-press/release
26,2,1,1,1,1,3,3,3,1,2,2,Somewhat agree,3,Strongly agree,3,Strongly agree,3,Don't know.,Strongly agree,Don't know.,Somewhat disagree,Somewhat agree,Don't know.,Somewhat disagree,42,Male,"Everyday, during a majority of business hours",Rarely,,A mouse,,Mouse buttons,,,Somewhat agree,Somewhat agree,Somewhat agree,,61Dx3g1Z4dbc7YQKZnecfolrx9v1,-MGz97IakBYqdjv2OJNe,targetdrag,click,targetdrag-click
27,2,1,1,2,1,2,2,6,2,2,2,Strongly agree,7,Strongly agree,6,Strongly agree,2,"it was pretty simple, i can't imagine how to make it simpler.",Strongly agree,"I don't know how it could be simpler, it's just two clicks of the mouse.",Strongly disagree,Strongly agree,I think it handled them properly and the colors were useful to let m know when I was not in the target range.,Strongly agree,47,Male,"Everyday, during a majority of business hours",Rarely,"driving games, skateboarding games..things like that. but it's pretty rare for me to even play them.",A mouse,"It's a nice mouse, but just a regular, old mouse.",Mouse buttons,standard mouse.,"I don't think it could be, it was very easy to control.",Somewhat agree,Strongly disagree,Strongly disagree,"Again, I used it for only a minute, but I felt in complete control and there was no confusion as to how to manipulate the object. I'm not sure how to make any meaningful improvements on the design.",6ZIgFwTa9vNoXutzYS231w4jUWY2,-MGz0pI413NobqjufGmV,targetdrag,click,targetdrag-click
28,6,7,7,6,6,7,7,6,1,1,7,Somewhat agree,7,Strongly agree,7,Strongly agree,2,interest,Somewhat agree,good,Somewhat agree,Strongly agree,nice,Somewhat agree,32,Male,"Everyday, during a majority of business hours","Everyday, a few hours",action,A mouse,mouse,Mouse buttons,mouse,no,Somewhat agree,Strongly agree,Strongly agree,good,6rZOPeWzhcRnJPMvC8PxR8Mpnnj2,-MGzR_coANRdZP53IrdF,drag,press/release,drag-press/release
29,6,6,5,6,6,6,5,6,6,6,7,Somewhat agree,6,Strongly agree,5,Strongly agree,5,nothing,Somewhat agree,nothing,Somewhat agree,Somewhat agree,nothing,Somewhat agree,48,Male,"Everyday, during a majority of business hours","Everyday, a few hours",maala akka,A mouse,mouse,Mouse buttons,mouse buttons,nothing,Somewhat agree,Somewhat disagree,Somewhat disagree,nothing,7LpVskhH9xe0OqL6MehVQFVkwd13,-MHO3m6XYcR6y4DPVQng,panel,press/release,panel-press/release
30,7,6,7,6,5,6,6,5,4,4,6,Strongly agree,5,Somewhat agree,4,Strongly disagree,5,CONTROL INTERFACE,Strongly agree,EFFICIENT,Strongly agree,Somewhat agree,FOLLOW THE INSTRUCTIONS,Strongly agree,35,Female,"Everyday, a few hours","Everyday, a few hours",RACE,A mouse,NO,Mouse buttons,NO,CONTROL THE CURSOR,Strongly agree,Somewhat agree,Strongly agree,NO,86xH4fVtlShewwgJmHN1Ndyb4Sm2,-MGypedWSADM7lTuoQRP,drag,press/release,drag-press/release
31,3,3,2,3,2,3,5,3,2,2,4,Strongly agree,6,Strongly agree,3,Strongly agree,3,Maybe add some color,Somewhat agree,If there was a way to make the size of my mouse smaller so i could see the object better,Strongly disagree,Neither agree/nor disagree,I did not notice any errors,Neither agree/nor disagree,29,Female,"Everyday, during a majority of business hours","Everyday, less than an hour","I like to play Nintendo games, especially the Zelda series, and anything with Mario in it",A mouse,"I'm using a simple mouse, I did adjust the settings so the pointer speed was slightly slower than normal",Mouse buttons,"I'm using a simple mouse, I did adjust the settings so the pointer speed was slightly slower than normal",,Somewhat agree,Somewhat disagree,Somewhat disagree,,8KNqwbIcukPuWcihXvbvDDwGLEt2,-MGsoBWo0KmpXzT0jNU7,target,click,target-click
32,3,2,2,1,1,1,2,5,2,2,2,Strongly agree,7,Strongly agree,7,Strongly agree,1,It was very straightforward and the explanation was clear. ,Strongly agree,Everything worked perfectly. ,Strongly disagree,Neither agree/nor disagree,I didn't experience any errors.,Neither agree/nor disagree,42,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",puzzle games and simulations,A trackpad,MacBook Air trackpad,Trackpad buttons,Nothing really,unsure,Somewhat agree,Somewhat disagree,Somewhat disagree,It was very simple. I enjoyed it.,9N9FZKHIQrO7wIhXMRbf4xR4WJE2,-MGt0sgZlNs-otef1Zc-,drag,click,drag-click
33,7,6,4,1,1,3,7,7,4,6,6,Somewhat agree,2,Somewhat agree,1,Strongly agree,6,Slower instructions,Strongly agree,Be larger,Strongly disagree,Strongly agree,Be larger,Strongly disagree,26,Male,"Everyday, during a majority of business hours","Everyday, less than an hour","RPG,Word",A mouse,I have no mouse pad which made it harder,Mouse buttons,no relevant,No idea,Strongly agree,Strongly agree,Somewhat agree,I don't know of any,9NiqfLwkg4UH22X9c4bxszZGFUl2,-MHOGwbfw0Wmcpt9Bv2_,drag,click,drag-click
34,2,2,2,2,3,4,3,5,2,3,5,Somewhat agree,4,Somewhat agree,5,Somewhat agree,3,I dont know,Somewhat agree,"I dont know, you're smarter than me",Somewhat disagree,Somewhat agree,I really dont know,Neither agree/nor disagree,26,Male,"Everyday, during a majority of business hours","Everyday, a few hours",,A mouse,,Mouse buttons,,,Strongly agree,Somewhat agree,Somewhat agree,,9fqozEdjCDdnqmSm834noWjDWUP2,-MGymV5697noAMSaQXoy,drag,press/release,drag-press/release
35,7,7,7,7,7,7,7,7,1,1,7,Somewhat agree,6,Strongly agree,7,Somewhat agree,6,well,Somewhat agree,great,Somewhat agree,Strongly agree,well,Strongly agree,30,Male,"Everyday, a few hours","Everyday, a few hours",good,A mouse,cursor,Mouse buttons,very hard,good,Somewhat agree,Somewhat agree,Strongly agree,great,9wFZpANh1iNpKWjaVSjNASWFe7m1,-MGsxTDDOzD5I-Lncw5-,arrow,press/release,arrow-press/release
36,4,3,4,6,6,5,3,3,1,1,6,Neither agree/nor disagree,5,Strongly agree,4,Strongly agree,3,I was already better I suppose. I can't think of any better interface.,Somewhat agree,I think it would be done better using keyboard.,Somewhat disagree,Somewhat agree,Using arrow keys on the keyboard can be more accurate.,Somewhat agree,29,Female,"Everyday, during a majority of business hours",Once or twice a week,"Online Battleground games, Racing.",A mouse,The cursor can be accessed better depends on the mouse dpi.,Mouse buttons,I was just using mouse buttons.,Using mouse is better than using touchpad.,Somewhat agree,Somewhat disagree,Somewhat disagree,It is just as perfect as is it.,AHi9dT39XwW16GsHvsQKlM2RABU2,-MHO4cqnPvigXY7PT78X,arrow,press/release,arrow-press/release
37,4,5,4,6,2,5,2,2,3,3,3,Neither agree/nor disagree,4,Somewhat disagree,5,Somewhat agree,4,none,Strongly disagree,none,Strongly disagree,Somewhat disagree,none,Strongly agree,28,Female,"Everyday, during a majority of business hours","Everyday, a few hours",none,A mouse,none,Mouse buttons,none,none,Strongly disagree,Somewhat disagree,Somewhat agree,nice,AMm1wLQY6WeMO94xoRrNxzP8mck1,-MGt2H8Liy02AKaCpjlY,panel,click,panel-click
38,5,5,3,3,3,5,6,6,2,3,6,Strongly agree,6,Strongly agree,2,Strongly agree,2,I think you could place numbers on the ring like a clock so it would be more obvious that it performs a rotation function.,Strongly agree,I think you should be allowed to control the movement of the object even if your click is one to one and a half inches away. This would allow for faster control of the object.,Strongly disagree,Somewhat agree,I think the size of the ring could be increased some so that rotation errors would become less likely. ,Strongly agree,33,Male,"Everyday, during a majority of business hours","Everyday, a few hours",I play role-playing and first person shooter games the most.,A trackpad,I am just using an ordinary trackpad on a MacBook.,Trackpad buttons,I am just using ordinary trackpad buttons on a MacBook.,I think the object could be allowed to quickly jump to the four corners of the space if a user clicked there twice while using an assistive device.,Strongly agree,Somewhat agree,Somewhat agree,I think the circle in the middle of the handle could be made larger that way it would be easier to move the target around the space with your cursor. ,AunfrNePWkPeRiHtSA99EiBh7Q43,-MHOItCujkIf_JqfbdOw,drag,press/release,drag-press/release
39,6,5,5,6,6,6,7,4,1,1,7,Somewhat agree,2,Strongly agree,2,Strongly agree,4,No need this is good intuitive,Strongly agree,The object speed can be slow down,Somewhat agree,Neither agree/nor disagree,The console can be instructive,Somewhat agree,35,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",Action,A mouse,none,Mouse buttons,none,Interface UI can be improve more,Somewhat agree,Somewhat agree,Somewhat agree,The same is good,BVw71L9RbOOZNKuQfUbnJXu8YHp1,-MGyy9rOk9vSQqgvuvPa,panel,click,panel-click
40,7,6,7,5,7,4,7,4,7,4,7,Strongly agree,5,Somewhat agree,7,Strongly agree,5,"When we say something is intuitive, it means that something easy to use. We don't have to spend time reading instruction manuals to figure out how it works, we just use it, and it works. It's simple. Intuitive is a quality that every designer strives for in their work.",Somewhat agree,"Make Everything the User Needs Readily Accessible. ...
Be Consistent. ...
Be Clear. ...
Give Feedback",Somewhat agree,Strongly agree,"Keep the interface simple. ...
Create consistency and use common UI elements",Somewhat agree,38,Female,"Everyday, a few hours",Once or twice a week,rummy,A mouse,mouse is easy control.,Mouse buttons,easy method,"Web design. You know what they say, first impressions are the most important. ...
Optimize your call-to-action. ",Somewhat agree,Somewhat agree,Somewhat agree,"A good interface makes it easy for users to tell the computer what they want to do, for the computer to request information from the users, and for the computer to present understandable information. Clear communication between the user and the computer is the working premise of good UI design.",Bj7cZ8FnQxbZZp915GTpEKkN8k93,-MGyq0gBSv_666VubFUH,arrow,click,arrow-click
41,6,6,6,7,3,2,6,6,2,2,6,Neither agree/nor disagree,6,Somewhat agree,6,Somewhat agree,3,ok,Neither agree/nor disagree,good,Somewhat agree,Neither agree/nor disagree,ok,Neither agree/nor disagree,27,Female,"Everyday, during a majority of business hours","Everyday, less than an hour",football ,A mouse,good,Mouse buttons,good,good,Somewhat agree,Neither agree/nor disagree,Neither agree/nor disagree,no,C45o2DW5RTftRA7hacJipCpZe9l1,-MGz69yknZSNawObDku1,arrow,press/release,arrow-press/release
42,7,5,2,4,5,6,3,4,1,1,6,Somewhat agree,5,Strongly agree,5,Strongly agree,3,it was pretty intuitive,Strongly agree,i ha a fast control over the obiect.,Somewhat disagree,Somewhat agree,n/a,Somewhat agree,27,Male,"Everyday, during a majority of business hours",Once or twice a week,fortnight,A mouse,,Keyboard,,n/q,Somewhat agree,Somewhat disagree,Somewhat disagree,,CCmv32oarVcGi3qt6dbDXHBCCzX2,-MHOVjRU9YsM9QBwAQt4,arrow,click,arrow-click
43,7,3,1,1,3,3,1,4,5,6,6,Strongly agree,4,Strongly agree,5,Strongly agree,5,make it a little bigger image wise,Strongly agree,it perfect as is in my honest opinion,Somewhat agree,Somewhat agree,yes maybe change the ui make it a little more user friendly,Strongly agree,33,Male,"Everyday, during a majority of business hours",Once or twice a week,sports,A mouse,,Mouse buttons,,,Strongly agree,Somewhat disagree,Neither agree/nor disagree,,CDhsarxFxhTJ5ASKDr86Cl8YQYv2,-MGsndNeAsWQ_lKslDHA,drag,click,drag-click
44,2,2,2,3,2,2,3,3,2,1,2,Somewhat agree,6,Strongly agree,6,Somewhat agree,2,a lttle sound and colors,Strongly agree,if the object can be moved diagonally,Somewhat disagree,Somewhat agree,bigger and colorful,Somewhat agree,31,Male,"Everyday, during a majority of business hours",Once or twice a week,fifa,A trackpad,,Trackpad buttons,,,Strongly agree,Somewhat disagree,Somewhat disagree,it is mostly fine,CFVsA8lkIeNK0HYzF4MsO7swXap1,-MHO2nuiHR0n3VWZSmc6,arrow,press/release,arrow-press/release
